n,v2,v3,v5,v7,v11,v13,v17,v19,v23,v29,v31,v37,v41,v43,v47,v53,v59,v61,v67,v71,v73,v79
68,-13,26,18,16,9,9,8,6,3,3,4,2,2,2,2,2,2,2,2,0,0,0
69,-15,28,18,16,8,9,8,6,5,3,4,2,2,2,2,2,2,2,2,0,0,0
70,-16,27,20,18,8,9,8,6,5,3,4,2,2,2,2,2,2,2,2,0,0,0
71,-17,27,19,17,8,9,8,6,5,3,4,2,2,2,2,2,2,2,2,2,0,0
72,-14,30,19,17,8,9,8,6,5,3,4,2,2,2,2,2,2,2,2,2,0,0
73,-17,28,19,17,8,9,8,6,5,3,4,2,2,2,2,2,2,2,2,2,2,0
74,-17,26,19,17,8,9,8,6,5,3,4,4,2,2,2,2,2,2,2,2,2,0
75,-20,28,22,17,8,9,8,6,5,3,4,4,2,2,2,2,2,2,2,2,2,0
76,-18,26,22,17,8,9,8,8,5,3,4,4,2,2,2,2,2,2,2,2,2,0
77,-20,25,21,19,10,9,8,8,5,3,4,4,2,2,2,2,2,2,2,2,2,0
78,-21,26,21,19,10,11,8,8,5,3,4,4,2,2,2,2,2,2,2,2,2,0
79,-22,25,21,19,10,10,8,8,5,3,4,4,2,2,2,2,2,2,2,2,2,2
80,-19,25,23,19,10,10,8,8,5,3,4,4,2,2,2,2,2,2,2,2,2,2
81,-20,30,23,19,10,10,8,8,5,3,4,4,2,2,2,2,2,2,2,2,2,2
